strut_id,defect_class,touches_excluded_nominal_plane,excluded_nominal_axis,excluded_nominal_value,x0_nominal,y0_nominal,z0_nominal,x1_nominal,y1_nominal,z1_nominal,same_material_component_connects_a_to_b,a_collar_foreground_fraction,b_collar_foreground_fraction,endpoint0_to_collar_component_voxel_count_in_corridor,endpoint1_to_collar_component_voxel_count_in_corridor,minimum_endpoint_to_collar_component_voxel_count_in_corridor,central_material_slice_fraction,a_side_material_slice_fraction,b_side_material_slice_fraction,longest_empty_run_slices,central_mean_foreground_fraction,central_reference_foreground_fraction_p90,central_minimum_foreground_fraction,central_minimum_smoothed_foreground_fraction,central_minimum_relative_to_reference,central_material_loss_fraction,central_deficit_cutoff_foreground_fraction,central_deficit_fraction,longest_deficit_run_samples,minimum_endpoint_collar_foreground_fraction,both_endpoint_segments_observed,reasons
9,broken,False,y,18.0,2.0,0.0,0.0,1.0,0.0,1.0,True,0.47197640118,0.312684365782,3917,3917,3917,0.7878787878787878,1.0,0.45454545454545453,7,0.19013140252078306,0.41592920353982304,0.017699115044247787,0.017699115044247787,0.0425531914893617,0.5493230174081238,0.20796460176991152,0.6060606060606061,20,0.312684365782,True,central_material_loss_rule_satisfied|endpoint_material_support_observed|connected_bite_case
42,broken,False,y,18.0,4.0,1.0,1.0,3.0,1.0,2.0,True,0.367256637168,0.0973451327434,3980,3980,3980,1.0,1.0,1.0,0,0.21426655939930278,0.30619469026548674,0.07079646017699115,0.07374631268436578,0.24084778420038536,0.3112629181993344,0.15309734513274337,0.3333333333333333,11,0.0973451327434,True,central_material_loss_rule_satisfied|endpoint_material_support_observed|connected_bite_case
43,broken,False,y,18.0,3.0,0.0,1.0,3.0,1.0,0.0,True,0.280235988201,0.613569321534,4822,4822,4822,1.0,1.0,1.0,0,0.3776678813118167,0.5292035398230088,0.24778761061946902,0.25073746312684364,0.4738015607580825,0.2980523313004131,0.2646017699115044,0.14705882352941177,5,0.280235988201,True,central_material_loss_rule_satisfied|endpoint_material_support_observed|connected_bite_case
53,broken,False,y,18.0,4.0,2.0,0.0,4.0,1.0,1.0,True,0.769911504425,0.33185840708,5539,5539,5539,1.0,1.0,1.0,0,0.4800214534727809,0.6778761061946903,0.30973451327433627,0.3126843657817109,0.4612706701479547,0.2988369333016853,0.33893805309734515,0.21212121212121213,7,0.33185840708,True,central_material_loss_rule_satisfied|endpoint_material_support_observed|connected_bite_case
58,broken,False,y,18.0,4.0,0.0,2.0,5.0,0.0,1.0,True,0.283185840708,0.336283185841,3803,3803,3803,1.0,1.0,1.0,0,0.1992491284526683,0.30796460176991153,0.05309734513274336,0.058997050147492625,0.19157088122605362,0.35893416927899685,0.15398230088495576,0.30303030303030304,9,0.283185840708,True,central_material_loss_rule_satisfied|endpoint_material_support_observed|connected_bite_case
67,broken,False,y,18.0,5.0,0.0,1.0,5.0,1.0,0.0,True,0.286135693215,0.719764011799,5173,5173,5173,1.0,1.0,1.0,0,0.45679333680374806,0.6141592920353982,0.2743362831858407,0.28908554572271383,0.4707012487992315,0.263180200033904,0.3070796460176991,0.08823529411764706,3,0.286135693215,True,central_material_loss_rule_satisfied|endpoint_material_support_observed|connected_bite_case
71,broken,False,y,18.0,5.0,2.0,1.0,5.0,1.0,0.0,True,0.393805309735,0.955752212389,5728,5728,5728,1.0,1.0,1.0,0,0.4993295789755967,0.7398230088495575,0.3185840707964602,0.327433628318584,0.4425837320574162,0.34232274902131365,0.36991150442477877,0.2727272727272727,9,0.393805309735,True,central_material_loss_rule_satisfied|endpoint_material_support_observed|connected_bite_case
77,broken,False,y,18.0,6.0,2.0,0.0,6.0,1.0,1.0,True,0.924778761062,0.349557522124,5780,5780,5780,1.0,1.0,1.0,0,0.5355323142933762,0.7628318584070797,0.336283185840708,0.3480825958702065,0.4563031709203403,0.30823314349996483,0.38141592920353984,0.15151515151515152,5,0.349557522124,True,central_material_loss_rule_satisfied|endpoint_material_support_observed|connected_bite_case
80,broken,False,y,18.0,6.0,0.0,0.0,7.0,0.0,1.0,True,0.840707964602,0.40412979351,5486,5486,5486,1.0,1.0,1.0,0,0.5187402394586154,0.8115044247787611,0.35398230088495575,0.35693215339233036,0.43984005816066885,0.3637180062864841,0.40575221238938053,0.35294117647058826,12,0.40412979351,True,central_material_loss_rule_satisfied|endpoint_material_support_observed|connected_bite_case
81,broken,False,y,18.0,8.0,0.0,0.0,7.0,0.0,1.0,True,0.721238938053,0.300884955752,4657,4657,4657,0.9393939393939394,1.0,0.8181818181818182,2,0.29203539823008856,0.5168141592920354,0.04424778761061947,0.0471976401179941,0.091324200913242,0.45693233706932346,0.2584070796460177,0.45454545454545453,15,0.300884955752,True,central_material_loss_rule_satisfied|endpoint_material_support_observed|connected_bite_case
